pitcher,events,home_team,away_team,pitch_name,release_speed,launch_speed,launch_angle,hit_distance_sc,bb_type,release_pos_x,release_pos_y,zone,p_throws,balls,strikes,outs_when_up,inning
622786,field_out,MIA,LAD,Changeup,88.8,73.5,-30.0,3.0,ground_ball,-2.12,54.63,13.0,R,3,2,0,9
685107,strikeout,MIA,LAD,4-Seam Fastball,96.2,,,,,1.8,54.29,12.0,L,1,2,2,4
608331,force_out,ATL,LAD,4-Seam Fastball,94.9,104.5,-8.0,19.0,ground_ball,0.88,53.75,1.0,L,0,0,1,5
608331,walk,ATL,LAD,4-Seam Fastball,95.6,,,,,1.08,53.82,13.0,L,3,0,2,3
592426,strikeout,ATL,LAD,Slider,88.6,,,,,-1.98,53.81,9.0,R,1,2,1,9
608331,strikeout,ATL,LAD,Changeup,88.5,,,,,1.64,53.74,9.0,L,3,2,0,1
607481,fielders_choice,ATL,LAD,Sweeper,81.9,76.0,-7.0,18.0,ground_ball,1.99,54.22,4.0,L,0,0,1,7
450203,double,ATL,LAD,4-Seam Fastball,94.5,114.4,14.0,267.0,line_drive,-2.76,54.26,9.0,R,0,0,2,5
450203,strikeout,ATL,LAD,4-Seam Fastball,95.8,,,,,-2.65,54.26,6.0,R,1,2,1,3
669276,double,ATL,LAD,Slider,86.8,84.9,25.0,280.0,line_drive,1.8,54.29,7.0,L,0,2,2,7
450203,strikeout,ATL,LAD,Curveball,82.8,,,,,-2.89,54.36,14.0,R,0,2,0,1
519242,field_out,ATL,LAD,Slider,80.7,38.2,41.0,88.0,ground_ball,2.93,54.09,8.0,L,2,2,2,5
519242,strikeout,ATL,LAD,4-Seam Fastball,98.4,,,,,2.83,53.73,8.0,L,1,2,1,3
519242,walk,ATL,LAD,Sinker,96.5,,,,,3.05,53.84,12.0,L,3,1,0,1
680885,field_out,ATL,LAD,Slider,87.4,98.7,49.0,297.0,fly_ball,-2.22,53.5,5.0,R,0,1,1,5
680885,strikeout,ATL,LAD,Split-Finger,85.9,,,,,-2.33,53.39,13.0,R,1,2,1,3
641729,strikeout,ATL,LAD,4-Seam Fastball,94.8,,,,,-2.4,53.28,12.0,R,3,2,1,8
