pitcher,events,home_team,away_team,pitch_name,release_speed,launch_speed,launch_angle,hit_distance_sc,bb_type
656222,triple,LAD,PIT,Cutter,84.4,99.2,12.0,171.0,line_drive
547973,field_out,LAD,PIT,Slider,90.7,88.6,69.0,125.0,popup
663559,field_out,LAD,PIT,4-Seam Fastball,91.5,82.7,55.0,214.0,fly_ball
694973,strikeout,LAD,PIT,Curveball,83.5,,,,
694973,strikeout,LAD,PIT,Split-Finger,93.5,,,,
694973,field_out,LAD,PIT,Split-Finger,94.1,86.1,-8.0,10.0,ground_ball
656605,field_out,LAD,PIT,4-Seam Fastball,94.0,84.0,57.0,198.0,fly_ball
656605,home_run,LAD,PIT,Slider,88.4,113.9,30.0,448.0,fly_ball
593334,field_out,LAD,PIT,4-Seam Fastball,91.1,97.7,18.0,333.0,line_drive
656605,strikeout,LAD,PIT,4-Seam Fastball,96.7,,,,
663969,field_out,LAD,PHI,4-Seam Fastball,92.1,56.3,41.0,170.0,popup
663969,field_out,LAD,PHI,4-Seam Fastball,92.9,94.4,-3.0,34.0,ground_ball
628708,field_out,LAD,PHI,Slider,85.3,98.2,77.0,109.0,popup
621237,force_out,LAD,PHI,Cutter,94.1,67.5,-32.0,3.0,ground_ball
663969,field_out,LAD,PHI,Curveball,81.0,70.4,-39.0,2.0,ground_ball
650911,field_out,LAD,PHI,Sinker,93.1,72.3,19.0,165.0,line_drive
650911,field_out,LAD,PHI,Sinker,93.7,89.5,45.0,271.0,fly_ball
621381,field_out,LAD,PHI,Slider,82.8,84.2,46.0,259.0,fly_ball
650911,field_out,LAD,PHI,Sinker,93.0,106.8,-12.0,9.0,ground_ball
605400,double,LAD,PHI,4-Seam Fastball,92.9,117.1,11.0,213.0,line_drive
605400,sac_fly,LAD,PHI,4-Seam Fastball,94.1,113.1,47.0,364.0,fly_ball
621383,home_run,LAD,PHI,Changeup,86.3,107.4,37.0,384.0,fly_ball
605400,field_out,LAD,PHI,4-Seam Fastball,93.3,94.1,78.0,88.0,popup
674370,field_out,OAK,LAD,Slider,84.9,89.2,34.0,315.0,fly_ball
674370,field_out,OAK,LAD,Changeup,90.3,90.4,48.0,282.0,fly_ball
671305,strikeout,OAK,LAD,Slider,86.0,,,,
674370,strikeout,OAK,LAD,4-Seam Fastball,94.4,,,,
687765,single,OAK,LAD,Cutter,91.2,103.0,-9.0,13.0,ground_ball
687765,strikeout,OAK,LAD,Curveball,83.6,,,,
666205,strikeout,OAK,LAD,4-Seam Fastball,93.7,,,,
518397,strikeout,OAK,LAD,Sinker,93.0,,,,
687765,walk,OAK,LAD,Slider,84.4,,,,
666205,single,OAK,LAD,Slider,85.1,106.2,-6.0,16.0,ground_ball
683155,field_out,OAK,LAD,4-Seam Fastball,94.8,69.4,50.0,195.0,popup
683155,field_out,OAK,LAD,4-Seam Fastball,92.7,105.5,37.0,372.0,fly_ball
621053,home_run,OAK,LAD,4-Seam Fastball,93.4,116.3,25.0,405.0,fly_ball
613534,field_out,OAK,LAD,Slider,88.0,76.9,-18.0,9.0,ground_ball
683155,field_out,OAK,LAD,4-Seam Fastball,93.5,103.4,42.0,361.0,fly_ball
656302,field_out,SD,LAD,4-Seam Fastball,97.4,96.4,-3.0,32.0,ground_ball
656302,walk,SD,LAD,4-Seam Fastball,99.2,,,,
656302,field_out,SD,LAD,Knuckle Curve,82.3,61.0,-30.0,3.0,ground_ball
592094,field_out,SD,LAD,Changeup,89.8,88.2,12.0,164.0,line_drive
663362,field_out,SD,LAD,Cutter,86.6,99.8,41.0,332.0,fly_ball
669093,strikeout,SD,LAD,Split-Finger,83.3,,,,
670970,field_out,SD,LAD,Slider,86.4,106.0,18.0,329.0,line_drive
